Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
LED1       KPA-3010F3C                                                   BottomLayer LED-3010-SIDELED             -1771.653     80.709        270      "3.0X1.0MM (3010) RIGHT ANGLE IR SMD LED"                                                                                                                
LED2       KPA-3010F3C                                                   TopLayer    LED-3010-SIDELED             -1771.653     79.724        270      "3.0X1.0MM (3010) RIGHT ANGLE IR SMD LED"                                                                                                                
D3         SS34                                                          BottomLayer DO-214AC                     -1726.378     1162.402      0        "DIODE SCHOTTKY 40V 1A DO214AC"                                                                                                                          
D4         SS34                                                          BottomLayer DO-214AC                     -2289.370     3985.236      0        "DIODE SCHOTTKY 40V 1A DO214AC"                                                                                                                          
D2         1N5819HW                                                      BottomLayer SOD123                       -1309.449     1090.551      0        "Diode Standard 100V 300mA SOD-123"                                                                                                                      
C19        "Ceramic capacitor, 0805, 0.1u, �10%, 50V, X7R, -55...+125�C" BottomLayer CAP_0805                     -1074.803     716.535       270      ""                                                                                                                                                       
C30        "Ceramic capacitor, 0805, 0.1u, �10%, 50V, X7R, -55...+125�C" BottomLayer CAP_0805                     -1071.850     880.905       270      ""                                                                                                                                                       
R19        "Resistor thick-film, 0805, 510k, �1%, 0.063W, -55...+125�C"  BottomLayer R0805-0.6MM                  -2244.094     2716.535      270      ""                                                                                                                                                       
R18        "Resistor thick-film, 0805, 330k, �1%, 0.063W, -55...+125�C"  BottomLayer R0805-0.6MM                  -2244.094     2558.071      270      ""                                                                                                                                                       
C21        "100 nF"                                                      BottomLayer C0805_YA                     -2127.191     627.298       270      "cap 0805"                                                                                                                                               
R25        "10 kOhm"                                                     TopLayer    R0805_YA                     -1768.701     665.354       0        "RES ?�?% SMD0805"                                                                                                                                       
R17        "0 Ohm"                                                       TopLayer    R0805_YA                     -1895.669     665.354       180      "RES ?�?% SMD0805"                                                                                                                                       
D1         1N5819HW                                                      BottomLayer SOD123                       -1309.449     1181.102      180      "Diode Standard 100V 300mA SOD-123"                                                                                                                      
R13        "0 Ohm"                                                       BottomLayer R0805_YA                     -500.000      3818.898      270      "RES ?�?% SMD0805"                                                                                                                                       
Q1         HCS0905Z/1196                                                 BottomLayer HCS0905Z/1196                -1929.134     4045.276      270      "Electro-magnetic Sound Generator"                                                                                                                       
R9         "100 Ohm"                                                     BottomLayer R0805_YA                     -1409.449     590.551       90       "RES ?�?% SMD0805"                                                                                                                                       
R8         "100 Ohm"                                                     BottomLayer R0805_YA                     -1330.709     590.551       90       "RES ?�?% SMD0805"                                                                                                                                       
R24        "10 kOhm"                                                     BottomLayer R0805_YA                     -1165.354     503.937       270      "RES ?�?% SMD0805"                                                                                                                                       
FG4        Fiducial_1mm_2mm_cut                                          TopLayer    Feducial_1mm_2mm_cut         -2429.134     3649.606      90       "Reper point D=1mm"                                                                                                                                      
FG3        Fiducial_1mm_2mm_cut                                          TopLayer    Feducial_1mm_2mm_cut         -281.496      925.197       90       "Reper point D=1mm"                                                                                                                                      
